note_id,type,is_video,title,title_clean,desc_clean,publish_time,nickname,ip_location,liked_count,collected_count,comment_count,share_count,total_engagement,tag_list,tag_count,image_count,note_url,source_keyword
69b40469000000001a02f5a0,video,1,“温柔如暖阳洒入心间”,“温柔如暖阳洒入心间”,,2026-03-13 12:34:49,林烟不是大佬,四川,22000,2833,278,781,25892,"鸣潮,鸣潮创作激励,鸣潮日常,唯美,高级感,氛围感,超清,鸣潮新版本前瞻,鸣潮西格莉卡,西格莉卡",10,1,https://www.xiaohongshu.com/explore/69b40469000000001a02f5a0?xsec_token=AB-3BN2p0jMieVR0bRnQmziRvw3-bjTDWaeE705YznIhs=&xsec_source=pc_search,鸣潮西格莉卡
69b8d3ca0000000022027c62,video,1,“大家的笑容由我守护”,“大家的笑容由我守护”,,2026-03-17 04:08:42,林烟不是大佬,四川,11000,593,69,235,11897,"鸣潮,鸣潮创作激励,鸣潮二创,鸣潮日常,唯美,氛围感,超清,鸣潮西格莉卡PV,鸣潮西格莉卡,西格莉卡",10,1,https://www.xiaohongshu.com/explore/69b8d3ca0000000022027c62?xsec_token=AB1hUH2MizgEp-C7EW_GYz0xoWonNBMg0pORiAwywrQCA=&xsec_source=pc_search,鸣潮西格莉卡
69b517ce0000000022024bf4,normal,0,她不是笨，是成年了还被父母宠爱的幸福小孩,她不是笨，是成年了还被父母宠爱的幸福小孩,原来在遍地悲剧的二游里真有幸福的小孩🌞 西格莉卡的档案看得我心里暖暖的~ 明明是成年人了爸妈还把她当小朋友疼爱 给她准备大包小包的生活用品 陪她谈心，给她带礼物🎁~ 从小在爱泡大的小孩 才会干净又单纯，对外界毫无防备 也难怪小🍊子在剧情里一直状况外，对周遭异常反应都很迟钝 现在好担心她，单纯的小橘子本就焦虑的状态下，要是知道了残星会和秘日六席的真相，会不会压力过大走向极端……,2026-03-14 08:09:50,moka,广东,8895,305,144,194,9538,"鸣潮,鸣潮西格莉卡,鸣潮新版本前瞻,鸣潮剧情,鸣潮日常,鸣潮创作激励,女孩子就是最好的",7,6,https://www.xiaohongshu.com/explore/69b517ce0000000022024bf4?xsec_token=ABvmh63QI4NOeg_Qs7ibrgc0Jb0YLfPxQOPe4eH8-t_TE=&xsec_source=pc_search,鸣潮西格莉卡
69b04385000000001600b83e,normal,0,西格莉咪？耙耙咪？,西格莉咪？耙耙咪？,,2026-03-10 16:15:01,张不缺_Ash,浙江,7178,116,60,77,7431,"鸣潮创作激励,鸣潮,踏上鸣日的征程,鸣潮二创,鸣潮西格莉卡,这是谁家的小猫",6,1,https://www.xiaohongshu.com/explore/69b04385000000001600b83e?xsec_token=ABVmyxOak73ikg_GIAcbnlpfobiRaAiePuMpwssUoXin8=&xsec_source=pc_search,鸣潮西格莉卡
69bb110100000000230113cf,video,1,宝宝你是一只超可爱超萌的粑粑柑！,宝宝你是一只超可爱超萌的粑粑柑！,,2026-03-19 02:54:00,brs小鸟游,湖北,6414,595,281,552,7842,"鸣潮,鸣潮创作激励,鸣潮西格莉卡,鸣潮日常",4,1,https://www.xiaohongshu.com/explore/69bb110100000000230113cf?xsec_token=ABW_3UPa6wTMEcH9Ml6WbAVx3XcCoz2nREYT4atgQG0fA=&xsec_source=pc_search,鸣潮西格莉卡
69b418d4000000001f0050ff,normal,0,建模远超预期，身份却依然成谜的粉毛,建模远超预期，身份却依然成谜的粉毛,前瞻刚出来就惊艳了，好美丽，橘橘宝也很可爱 感觉pv在暗示两个人之间有千丝万缕的联系 橘橘宝的另一个闺蜜就是粉毛吧？ 前面出场的那只兔子难道也是粉毛的化身吗 一直利用西格莉卡的焦虑和学院的暗面蛊惑西格莉卡，试图引导她黑化 橘橘宝跟漂泊者面对的怪物也很像粉毛变身来的 她是残星会用来介入西格莉卡共鸣鸣式的造物，还是自身就是鸣式的共鸣者？ 平静生活的西格莉卡剧情竟然藏得更大…… 她们究竟跟救小爱的剧情有没有关系啊，老库你再多给点信息吧,2026-03-13 14:01:56,山楂奶糖,浙江,5467,128,94,54,5743,"鸣潮,鸣潮创作激励,鸣潮日常,踏上鸣日的征程,鸣潮剧情,鸣潮西格莉卡,鸣潮爱弥斯,鸣潮新版本前瞻,鸣潮赠予雪中的你,鸣潮拉海洛",10,5,https://www.xiaohongshu.com/explore/69b418d4000000001f0050ff?xsec_token=AB-3BN2p0jMieVR0bRnQmziQ_pzkyBiA--QpJOMIJt19U=&xsec_source=pc_search,鸣潮西格莉卡
69b4af52000000001f003f21,normal,0,前瞻里有一闪而过的西格莉卡摘眼罩形态,前瞻里有一闪而过的西格莉卡摘眼罩形态,好像大家都没有发现这个！ 在一个转场里，动作速度实在太快了 挥手拂去眼罩好美萌的一幕啊…… 后面还有西格莉卡和阿漂的表情包形态，橘橘宝被窜出来的阿漂吓了一跳 两个人也太可爱辽，怎么办我的抽卡计划又开始反复横跳了,2026-03-14 00:44:02,山楂奶糖,浙江,4594,162,63,86,4905,"鸣潮,鸣潮创作激励,鸣潮日常,踏上鸣日的征程,鸣潮剧情,鸣潮西格莉卡,鸣潮漂泊者,鸣潮新版本前瞻,鸣潮赠予雪中的你,鸣潮拉海洛",10,5,https://www.xiaohongshu.com/explore/69b4af52000000001f003f21?xsec_token=AB-3BN2p0jMieVR0bRnQmzicZI9iMSbPPw5DyWb0RVkOo=&xsec_source=pc_search,鸣潮西格莉卡
69a2c7ad000000002303be61,video,1,西格莉卡视角也太绝望了,西格莉卡视角也太绝望了,,2026-02-28 10:47:09,萌萌（游戏少女）,广东,3914,510,38,357,4819,"鸣潮,鸣潮创作激励,鸣潮攻略,鸣潮日常,鸣潮二创,鸣潮剧情,鸣潮拉海洛,鸣潮爱弥斯,与爱弥斯有关的一切,鸣潮陆赫斯",10,1,https://www.xiaohongshu.com/explore/69a2c7ad000000002303be61?xsec_token=ABBLWfSUVgb6cfGBke21clXLBcE0f3uRwVEj6TJuEfnBI=&xsec_source=pc_search,鸣潮西格莉卡
69bbab7f000000002301f69b,normal,0,此女简直蔫坏啊，但实在过于美丽……,此女简直蔫坏啊，但实在过于美丽……,天然呆+坏女人的配置 这就是你口中的好闺蜜吗西格莉卡？ 叫她娅娅她会不高兴，知道你压力大平时还一直拿秘日六席的事PUA你 心咋这么大呢 身边只有两个好闺蜜（还都是残星会）是因为其他人都被她赶跑了是吧！ 橘橘宝也太天真了被家里人保护得太好 来上学之后可怜的西格莉卡就这样被达妮娅玩弄于股掌之间,2026-03-19 07:53:35,山楂奶糖,浙江,3578,322,81,226,4207,"鸣潮,鸣潮创作激励,鸣潮日常,踏上鸣日的征程,鸣潮剧情,鸣潮西格莉卡,鸣潮漂泊者,鸣潮达妮娅,鸣潮拉海洛,鸣潮西格莉卡上线",10,5,https://www.xiaohongshu.com/explore/69bbab7f000000002301f69b?xsec_token=ABW_3UPa6wTMEcH9Ml6WbAV3r0x6dStFGEXTc-K5DLUIg=&xsec_source=pc_search,鸣潮西格莉卡
699344d9000000001a029b27,normal,0,【鸣潮】共鸣者的日常,【鸣潮】共鸣者的日常,,2026-02-16 16:24:57,弁当,,3342,312,74,207,3935,"鸣潮,鸣潮创作激励,鸣潮二创,鸣潮陆赫斯,鸣潮乙女向",5,7,https://www.xiaohongshu.com/explore/699344d9000000001a029b27?xsec_token=ABj4omBB2NFxRRjV0SYNYeByLAVAExbkgONel07WLc6jE=&xsec_source=pc_search,鸣潮西格莉卡
69ba6c46000000001a02cc3a,normal,0,好闺蜜（点头）,好闺蜜（点头）,昨天刷到有人评论西格莉卡这么吸引残星会，能不能拿她打窝（）,2026-03-18 09:11:34,听不懂我玩西格莉卡的,北京,3097,117,41,84,3339,"鸣潮,鸣潮二创,鸣潮创作激励,鸣潮西格莉卡,鸣潮达妮娅,鸣潮娜波摩,踏上鸣日的征程,摸鱼,同人产粮节",9,1,https://www.xiaohongshu.com/explore/69ba6c46000000001a02cc3a?xsec_token=ABm43lSPXV29MDlHlcnBERo2nNYgxNhz0plJL-y-cmP8A=&xsec_source=pc_search,鸣潮西格莉卡
